id,monto_de_recuperacion_esperado,monto_de_recuperacion_real,estrategia_de_recuperacion,edad,sexo
2030,194,263.54,Nivel 0 de Recuperacion,19,Masculino
1150,486,416.09,Nivel 0 de Recuperacion,25,Femenino
380,527,429.35,Nivel 0 de Recuperacion,27,Masculino
1838,536,296.99,Nivel 0 de Recuperacion,25,Masculino
1995,541,346.385,Nivel 0 de Recuperacion,34,Masculino
731,548,520.71,Nivel 0 de Recuperacion,35,Masculino
221,549,221.585,Nivel 0 de Recuperacion,33,Masculino
1932,560,373.72,Nivel 0 de Recuperacion,19,Femenino
1828,562,201.865,Nivel 0 de Recuperacion,22,Femenino
2001,565,504.885,Nivel 0 de Recuperacion,27,Masculino
723,573,363.61,Nivel 0 de Recuperacion,27,Femenino
1913,582,201.815,Nivel 0 de Recuperacion,31,Masculino
286,587,400.365,Nivel 0 de Recuperacion,18,Masculino
685,602,262.445,Nivel 0 de Recuperacion,31,Masculino
251,604,240.815,Nivel 0 de Recuperacion,33,Masculino
1769,604,278.72,Nivel 0 de Recuperacion,32,Femenino
1816,605,444.455,Nivel 0 de Recuperacion,22,Femenino
583,606,200.425,Nivel 0 de Recuperacion,26,Masculino
770,608,315.435,Nivel 0 de Recuperacion,23,Masculino
1849,613,245,Nivel 0 de Recuperacion,29,Femenino
1850,613,377.105,Nivel 0 de Recuperacion,28,Femenino
1532,615,420.735,Nivel 0 de Recuperacion,33,Femenino
565,621,249.1,Nivel 0 de Recuperacion,34,Femenino
1355,629,366.45,Nivel 0 de Recuperacion,31,Femenino
855,632,426.21,Nivel 0 de Recuperacion,28,Femenino
932,643,399.14,Nivel 0 de Recuperacion,32,Masculino
1479,643,480.125,Nivel 0 de Recuperacion,23,Masculino
492,648,225.165,Nivel 0 de Recuperacion,21,Masculino
2022,656,467.945,Nivel 0 de Recuperacion,24,Masculino
1990,658,515.785,Nivel 0 de Recuperacion,23,Masculino
1533,662,936.06,Nivel 0 de Recuperacion,21,Masculino
1554,664,398.59,Nivel 0 de Recuperacion,35,Femenino
480,670,228.985,Nivel 0 de Recuperacion,32,Masculino
475,672,282.62,Nivel 0 de Recuperacion,34,Femenino
1904,672,270.585,Nivel 0 de Recuperacion,18,Femenino
1241,678,292.25,Nivel 0 de Recuperacion,32,Femenino
294,681,362.06,Nivel 0 de Recuperacion,23,Femenino
1390,684,333.21,Nivel 0 de Recuperacion,25,Masculino
712,686,491.635,Nivel 0 de Recuperacion,24,Femenino
957,692,508.27,Nivel 0 de Recuperacion,26,Masculino
144,698,253.61,Nivel 0 de Recuperacion,28,Masculino
949,699,557.9,Nivel 0 de Recuperacion,27,Masculino
1022,699,384.575,Nivel 0 de Recuperacion,18,Femenino
1861,702,407.2,Nivel 0 de Recuperacion,31,Masculino
